Tecnologia;Año;Escenario;Produccion_MWh
Biomasa;2021;1;2,08E+23
Biomasa;2021;2;2,08E+23
Biomasa;2021;3;2,08E+23
Biomasa;2021;4;2,08E+23
Biomasa;2021;5;2,08E+23
Biomasa;2022;1;2,08E+23
Biomasa;2022;2;2,08E+23
Biomasa;2022;3;2,08E+23
Biomasa;2022;4;2,26E+23
Biomasa;2022;5;2,08E+23
Biomasa;2023;1;2,08E+23
Biomasa;2023;2;2,08E+23
Biomasa;2023;3;2,08E+23
Biomasa;2023;4;2,26E+22
Biomasa;2023;5;2,08E+23
Biomasa;2024;1;2,08E+23
Biomasa;2024;2;2,08E+23
Biomasa;2024;3;2,08E+23
Biomasa;2024;4;2,26E+22
Biomasa;2024;5;2,08E+23
Biomasa;2025;1;2,08E+23
Biomasa;2025;2;2,08E+23
Biomasa;2025;3;2,08E+23
Biomasa;2025;4;2,26E+22
Biomasa;2025;5;2,08E+23
Biomasa;2026;1;2,08E+23
Biomasa;2026;2;2,08E+23
Biomasa;2026;3;2,08E+23
Biomasa;2026;4;2,26E+23
Biomasa;2026;5;2,08E+23
Biomasa;2027;1;2,08E+23
Biomasa;2027;2;2,08E+23
Biomasa;2027;3;2,08E+23
Biomasa;2027;4;2,26E+23
Biomasa;2027;5;2,08E+23
Biomasa;2028;1;2,08E+23
Biomasa;2028;2;2,08E+23
Biomasa;2028;3;2,08E+23
Biomasa;2028;4;2,26E+23
Biomasa;2028;5;2,08E+23
Biomasa;2029;1;2,08E+23
Biomasa;2029;2;2,08E+23
Biomasa;2029;3;2,08E+23
Biomasa;2029;4;2,26E+23
Biomasa;2029;5;2,08E+23
Biomasa;2030;1;2,08E+23
Biomasa;2030;2;2,08E+23
Biomasa;2030;3;2,08E+23
Biomasa;2030;4;2,26E+23
Biomasa;2030;5;2,08E+23
Carbon;2021;1;2,19E+22
Carbon;2021;2;1,50E+22
Carbon;2021;3;1,27E+22
Carbon;2021;4;2,73E+22
Carbon;2021;5;6,67E+21
Carbon;2022;1;3,91E+21
Carbon;2022;2;3,77E+22
Carbon;2022;3;2,43E+21
Carbon;2022;4;4,78E+21
Carbon;2022;5;7,86E+21
Carbon;2023;1;9,12E+20
Carbon;2023;2;9,54E+19
Carbon;2023;3;8,18E+22
Carbon;2023;4;9,44E+21
Carbon;2023;5;1,32E+23
Carbon;2024;1;1,34E+22
Carbon;2024;2;1,38E+23
Carbon;2024;3;1,24E+23
Carbon;2024;4;1,20E+23
Carbon;2024;5;1,75E+23
Carbon;2025;1;1,88E+23
Carbon;2025;2;1,81E+23
Carbon;2025;3;1,84E+21
Carbon;2025;4;1,57E+23
Carbon;2025;5;2,12E+22
Carbon;2026;1;1,99E+22
Carbon;2026;2;1,92E+22
Carbon;2026;3;2,01E+23
Carbon;2026;4;1,68E+22
Carbon;2026;5;2,12E+22
Carbon;2027;1;2,38E+23
Carbon;2027;2;2,30E+22
Carbon;2027;3;2,28E+22
Carbon;2027;4;2,06E+23
Carbon;2027;5;2,45E+22
Carbon;2028;1;2,54E+23
Carbon;2028;2;2,41E+23
Carbon;2028;3;2,50E+23
Carbon;2028;4;2,39E+23
Carbon;2028;5;2,56E+23
Carbon;2029;1;2,68E+23
Carbon;2029;2;2,60E+23
Carbon;2029;3;2,98E+22
Carbon;2029;4;2,64E+23
Carbon;2029;5;2,64E+23
Carbon;2030;1;2,97E+23
Carbon;2030;2;2,84E+23
Carbon;2030;3;3,16E+23
Carbon;2030;4;2,94E+23
Carbon;2030;5;2,94E+23
