archivo,bytes,estado,referenciada_por
impuestoscarb.png,1909351,huérfana,
sapiro1.png,1874171,huérfana,
evol.png,1871970,huérfana,
image.png,1775469,huérfana,
matrixenerg.png,1681948,huérfana,
MODELOILUS2.png,1545921,huérfana,
calibracion.png,1450161,huérfana,
CCCC.png,1112755,huérfana,
impuestoscarbono2.png,399607,huérfana,
melect.png,234474,huérfana,
melect2.png,193807,huérfana,
ejemplo_prod.png,182452,huérfana,
ejemplo_produciont.png,182452,huérfana,
matrizelectrica2030sim.png,181442,huérfana,
melect1.png,180382,huérfana,
mbudoo.png,153490,huérfana,
participaciontecm.png,148793,huérfana,
inversion_t.png,142766,huérfana,
inv_mmedia.png,136288,huérfana,
m0prodx.png,98805,huérfana,
Gases MWh periodo.png,98588,huérfana,
Escenario 1 gases.png,98579,huérfana,
A.embudo.png,96630,huérfana,
subastador.png,92315,huérfana,
2030mparttec.png,80695,huérfana,
fuel cost.png,79428,huérfana,
embudo.png,75189,huérfana,
funcsubastadorJ(m).png,71653,huérfana,
Funcion arreglada.png,69703,huérfana,
Precios en el tiempo.png,69075,huérfana,
thetasypia.png,67735,huérfana,
grafbienestar.png,67703,huérfana,
PrecioCalculado.png,66220,huérfana,
nfunsubopt.png,65902,huérfana,
subnuevo.png,64836,huérfana,
subsobrecap.png,63622,huérfana,
funcionnuevagraf.png,58918,huérfana,
costo1gabaix.png,58327,huérfana,
Alowances.png,57260,huérfana,
Gabaixtest.png,56721,huérfana,
grafcostogx1.png,56221,huérfana,
Profit oriented grafico pfijo.png,55542,huérfana,
thetasobrecap.png,55139,huérfana,
comp_vend.png,50369,huérfana,
profit oriented.png,50231,huérfana,
gabaixsubastador.png,49545,huérfana,
emisionesm1.png,47256,huérfana,
emisionesm0.5.png,46948,huérfana,
emisionesm0.png,45768,huérfana,
thetaypia2.png,45346,huérfana,
demandaMW.png,45220,huérfana,
ingresopor_m.png,32694,huérfana,
usdym.png,32237,huérfana,
utilidadvgx.png,31055,huérfana,
uvgx2.png,29885,huérfana,
usdm.png,27518,huérfana,
carbon cap.png,22473,huérfana,
simbologia.png,2027016,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
medioambiente.png,1757039,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
calibracion2.png,1626643,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
cccc.png,1612547,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
conclusion.png,1590461,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
ELCAP.png,1557363,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
impcarb.png,1551463,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
modelo2.png,1521998,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
modelo1.png,1422688,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
MODELOILUS1.png,1422297,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
modelacion.png,1419229,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
intro2.png,1365140,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
intro3.png,1354304,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
intro1.png,1317500,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
torta mitigacion.png,1118273,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
objetivo.png,1075916,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
cap and trade.png,1044223,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
parametros2.png,1002088,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
parametros8.png,859563,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
limitciones.png,827059,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
codificacion.png,816284,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
perdidas.png,251608,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
melect3.png,234474,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
bmbudo.png,230758,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
mprx0.0.png,98843,usada,docs/MemoriaMHurtado/chapters/chapter04.tex; docs/Presentations/presentation-template/JMHL_presentation.tex
ngrafatencionporduccion.png,83516,usada,docs/MemoriaMHurtado/chapters/chapter04.tex
emisionxtec.png,75869,usada,docs/MemoriaMHurtado/chapters/chapter04.tex
emisionesselectrico.png,72796,usada,docs/MemoriaMHurtado/chapters/chapter04.tex
planificador social bienestar.png,63523,usada,docs/MemoriaMHurtado/chapters/chapter02.tex; docs/Presentations/presentation-template/JMHL_presentation.tex
ejemplo_2.png,52268,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
emislimp.png,50474,usada,docs/MemoriaMHurtado/chapters/chapter04.tex
planificador social profit.png,50158,usada,docs/MemoriaMHurtado/chapters/chapter02.tex; docs/Presentations/presentation-template/JMHL_presentation.tex
ejemplo_1.png,42038,usada,docs/Presentations/presentation-template/JMHL_presentation.tex
vg1.png,30906,usada,docs/MemoriaMHurtado/chapters/chapter02.tex
vgrx.png,29891,usada,docs/MemoriaMHurtado/chapters/chapter02.tex
ejemplo2.02.png,28806,usada,docs/MemoriaMHurtado/chapters/chapter02.tex
ejemplo1.02.png,23522,usada,docs/MemoriaMHurtado/chapters/chapter02.tex
