archivo,linea,tipo,etiqueta_latex,titulo,fila,columna,valor_crudo,valor
inattention_energy_prices.tex,517,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,1:0.798,0,0.798,0.798
inattention_energy_prices.tex,517,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,1:0.798,1,"120,200,000",120200000.0
inattention_energy_prices.tex,517,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,1:0.798,2,1.20,1.2
inattention_energy_prices.tex,517,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,1:0.798,3,270.13,270.13
inattention_energy_prices.tex,518,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,2:0.8,0,0.8,0.8
inattention_energy_prices.tex,518,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,2:0.8,1,"120,200,000",120200000.0
inattention_energy_prices.tex,518,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,2:0.8,2,1.20,1.2
inattention_energy_prices.tex,518,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,2:0.8,3,270.13,270.13
inattention_energy_prices.tex,519,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,3:0.85,0,0.85,0.85
inattention_energy_prices.tex,519,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,3:0.85,1,"113,654,321",113654321.0
inattention_energy_prices.tex,519,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,3:0.85,2,1.14,1.14
inattention_energy_prices.tex,519,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,3:0.85,3,25.75,25.75
inattention_energy_prices.tex,520,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,4:0.9,0,0.9,0.9
inattention_energy_prices.tex,520,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,4:0.9,1,"113,568,965",113568965.0
inattention_energy_prices.tex,520,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,4:0.9,2,1.14,1.14
inattention_energy_prices.tex,520,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,4:0.9,3,93.65,93.65
inattention_energy_prices.tex,521,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,5:0.95,0,0.95,0.95
inattention_energy_prices.tex,521,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,5:0.95,1,"118,470,479",118470479.0
inattention_energy_prices.tex,521,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,5:0.95,2,1.18,1.18
inattention_energy_prices.tex,521,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,5:0.95,3,188.86,188.86
inattention_energy_prices.tex,522,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,6:0.99,0,0.99,0.99
inattention_energy_prices.tex,522,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,6:0.99,1,"114,916,396",114916396.0
inattention_energy_prices.tex,522,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,6:0.99,2,1.15,1.15
inattention_energy_prices.tex,522,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,6:0.99,3,298.11,298.11
inattention_energy_prices.tex,523,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,7:1,0,1,1.0
inattention_energy_prices.tex,523,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,7:1,1,"118,332,486",118332486.0
inattention_energy_prices.tex,523,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,7:1,2,1.18,1.18
inattention_energy_prices.tex,523,tabla,efectopenthetapia,P effect in and ^a Profit Oriented Model CAP( )= 100 million.,7:1,3,317.24,317.24
inattention_energy_prices.tex,540,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,1:100M,0,100,100.0
inattention_energy_prices.tex,540,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,1:100M,1,"120,200,000",120200000.0
inattention_energy_prices.tex,540,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,1:100M,2,1.20,1.2
inattention_energy_prices.tex,540,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,1:100M,3,270.13,270.13
inattention_energy_prices.tex,541,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,2:200M,0,200,200.0
inattention_energy_prices.tex,541,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,2:200M,1,"240,400,000",240400000.0
inattention_energy_prices.tex,541,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,2:200M,2,1.20,1.2
inattention_energy_prices.tex,541,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,2:200M,3,60.57,60.57
inattention_energy_prices.tex,542,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,3:300M,0,300,300.0
inattention_energy_prices.tex,542,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,3:300M,1,"360,600,000",360600000.0
inattention_energy_prices.tex,542,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,3:300M,2,1.20,1.2
inattention_energy_prices.tex,542,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,3:300M,3,119.47,119.47
inattention_energy_prices.tex,543,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,4:400M,0,400,400.0
inattention_energy_prices.tex,543,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,4:400M,1,"454,798,037",454798037.0
inattention_energy_prices.tex,543,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,4:400M,2,1.14,1.14
inattention_energy_prices.tex,543,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,4:400M,3,95.83,95.83
inattention_energy_prices.tex,544,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,5:500M,0,500,500.0
inattention_energy_prices.tex,544,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,5:500M,1,"601,000,000",601000000.0
inattention_energy_prices.tex,544,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,5:500M,2,1.20,1.2
inattention_energy_prices.tex,544,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,5:500M,3,79.31,79.31
inattention_energy_prices.tex,545,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,6:600M,0,600,600.0
inattention_energy_prices.tex,545,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,6:600M,1,"605,279,899",605279899.0
inattention_energy_prices.tex,545,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,6:600M,2,1.01,1.01
inattention_energy_prices.tex,545,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,6:600M,3,66.57,66.57
inattention_energy_prices.tex,546,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,7:700M,0,700,700.0
inattention_energy_prices.tex,546,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,7:700M,1,"605,279,899",605279899.0
inattention_energy_prices.tex,546,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,7:700M,2,0.86,0.86
inattention_energy_prices.tex,546,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,7:700M,3,56.37,56.37
inattention_energy_prices.tex,547,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,8:800M,0,800,800.0
inattention_energy_prices.tex,547,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,8:800M,1,"961,600,000",961600000.0
inattention_energy_prices.tex,547,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,8:800M,2,1.20,1.2
inattention_energy_prices.tex,547,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,8:800M,3,152.50,152.5
inattention_energy_prices.tex,548,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,9:900M,0,900,900.0
inattention_energy_prices.tex,548,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,9:900M,1,"605,279,899",605279899.0
inattention_energy_prices.tex,548,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,9:900M,2,0.67,0.67
inattention_energy_prices.tex,548,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,9:900M,3,42.26,42.26
inattention_energy_prices.tex,549,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,"10:1,000M",0,"1,000",1000.0
inattention_energy_prices.tex,549,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,"10:1,000M",1,"605,279,899",605279899.0
inattention_energy_prices.tex,549,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,"10:1,000M",2,0.61,0.61
inattention_energy_prices.tex,549,tabla,efectocapthetapia,CAP effect on y ^a Profit Oriented Model P = 0.8.,"10:1,000M",3,35.98,35.98
inattention_energy_prices.tex,664,tabla,POpidporcap,Electricity prices ( ^d) per CAP and P=80,0:CAP,1,100,100.0
