modelo,P,cm,CAP,estado,estado_crudo,theta,pi_a,eta,r_p,pi_d_2018,theta_sobre_CAP,segundos,sustituciones,error,_f
precision,,4e6,7e+08,SLOW_PROGRESS,A stationary point was found,6.077932046379118e8,0.0,9.262478844643278e7,1.4139999999987063e8,60.77894026872051,0.8682760066255882,62.3,licencia<-PATH_LICENSE_STRING; cm=4e6 (reemplaza el del script); mean=7e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,pm_CAP7
profit_oriented,0.95,9.2e8,1e8,SLOW_PROGRESS,A stationary point was found,1.202e8,270.12617855884446,0.0,,264.0340286563826,1.202,164.9,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=0.95; mean=1e8; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_P0.95_c9.2e8
profit_oriented,0.8,9.2e8,8e+08,SLOW_PROGRESS,A stationary point was found,9.616000000000001e8,48.764606122970704,0.0,,77.15017400581895,1.2020000000000002,59.4,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=8e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP8_c9.2e8
profit_oriented,0.8,9.2e11,2e+08,SLOW_PROGRESS,A stationary point was found,2.404e8,161.56000417001877,0.0,,172.37735613104334,1.202,50.7,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=2e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP2_c9.2e11
profit_oriented,0.8,9.2e11,9e+08,SLOW_PROGRESS,A stationary point was found,1.0818e9,42.260117507549936,0.0,,71.65877867643005,1.202,62.9,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=9e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP9_c9.2e11
precision,,4e6,2e+08,ITERATION_LIMIT,Cumulative minor iterlim met,4.410239767887766e8,69.63178291431738,0.0,2.4102397678877863e8,111.72839057330644,2.205119883943883,81.0,licencia<-PATH_LICENSE_STRING; cm=4e6 (reemplaza el del script); mean=2e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,pm_CAP2
profit_oriented,0.8,9.2e11,7e+08,SLOW_PROGRESS,A stationary point was found,8.414e8,56.371497593904095,0.0,,83.5722696945743,1.202,52.9,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=7e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP7_c9.2e11
profit_oriented,0.8,9.2e8,1e8,SLOW_PROGRESS,A stationary point was found,1.202e8,270.1261785588446,0.0,,264.0340286563826,1.202,46.8,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=1e8; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_P0.8_c9.2e8
profit_oriented,0.8,9.2e8,5e+08,SLOW_PROGRESS,A stationary point was found,6.01e8,79.31040215753171,0.0,,102.93837221697125,1.202,53.0,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=5e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP5_c9.2e8
quadratic_rate,,9.9e9,5e+08,SLOW_PROGRESS,A stationary point was found,4.770991958680403e8,52.49414396339956,0.0,,104.83311785254456,0.9541983917360807,104.6,licencia<-PATH_LICENSE_STRING; cm=9.9e9 (reemplaza el del script); mean=5e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,tc_CAP5
profit_oriented,0.99,9.2e11,1e8,SLOW_PROGRESS,A stationary point was found,1.2011448432207687e8,254756.53296335397,0.0,,276983.8901892352,1.2011448432207688,51.0,licencia<-PATH_LICENSE_STRING; cm=9.2e11 (el script no lo define: descomentado e inyectado); Performance=0.99; mean=1e8; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_P0.99_c9.2e11
profit_oriented,0.8,9.2e8,2e+08,SLOW_PROGRESS,A stationary point was found,2.404e8,161.56000417001877,0.0,,172.37735613104334,1.202,53.1,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=0.8; mean=2e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_CAP2_c9.2e8
quadratic_rate,,9.9e9,8e+08,SLOW_PROGRESS,A stationary point was found,1.8097870246375222e9,34.35300773364803,0.0,,56.59271963337886,2.262233780796903,71.6,licencia<-PATH_LICENSE_STRING; cm=9.9e9 (reemplaza el del script); mean=8e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,tc_CAP8
quadratic_rate,,9.9e9,4e+08,SLOW_PROGRESS,A stationary point was found,5.797776404339538e8,81.91761616918784,0.0,,105.13950495665847,1.4494441010848844,82.5,licencia<-PATH_LICENSE_STRING; cm=9.9e9 (reemplaza el del script); mean=4e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,tc_CAP4
quadratic_rate,,9.9e9,7e+08,SLOW_PROGRESS,A stationary point was found,6.214510225587277e8,41.39899199525499,0.0,,91.39777876289995,0.8877871750838968,89.0,licencia<-PATH_LICENSE_STRING; cm=9.9e9 (reemplaza el del script); mean=7e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,tc_CAP7
profit_oriented,0.99,9.2e8,1e8,SLOW_PROGRESS,A stationary point was found,1.202e8,270.1261785588446,0.0,,264.03402865638265,1.202,67.1,licencia<-PATH_LICENSE_STRING; cm=9.2e8 (el script no lo define: descomentado e inyectado); Performance=0.99; mean=1e8; convergence_tolerance=1e-8 y limites de iteracion ampliados,,po_P0.99_c9.2e8
precision,,4e6,9e+08,SLOW_PROGRESS,A stationary point was found,7.181999998443394e8,0.0,1.1805232373387189e8,1.8180000015566066e8,66.45640753440807,0.7979999998270437,84.2,licencia<-PATH_LICENSE_STRING; cm=4e6 (reemplaza el del script); mean=9e+08; convergence_tolerance=1e-8 y limites de iteracion ampliados,,pm_CAP9
