tabla,fila,magnitud,modelo,c,P,CAP,publicado,replicado,dif_relativa,veredicto,estado_solver,linea_tex
efectopenthetapia,1:0.798,theta,profit_oriented,9.2e11,0.798,1e8,120200000.0,120200000.0002819,0.0,coincide,A stationary point was found,517
efectopenthetapia,1:0.798,ratio,profit_oriented,9.2e11,0.798,1e8,1.2,1.202000000002819,0.001667,coincide,A stationary point was found,517
efectopenthetapia,1:0.798,pi_a,profit_oriented,9.2e11,0.798,1e8,270.13,179.82712271182754,-0.334294,difiere,A stationary point was found,517
efectopenthetapia,1:0.798,theta,profit_oriented,9.2e8,0.798,1e8,120200000.0,120200000.0002819,0.0,coincide,A stationary point was found,517
efectopenthetapia,1:0.798,ratio,profit_oriented,9.2e8,0.798,1e8,1.2,1.202000000002819,0.001667,coincide,A stationary point was found,517
efectopenthetapia,1:0.798,pi_a,profit_oriented,9.2e8,0.798,1e8,270.13,179.82712271182754,-0.334294,difiere,A stationary point was found,517
efectopenthetapia,2:0.8,theta,profit_oriented,9.2e11,0.8,1e+08,120200000.0,120200000.0,0.0,coincide,A stationary point was found,518
efectopenthetapia,2:0.8,ratio,profit_oriented,9.2e11,0.8,1e+08,1.2,1.202,0.001667,coincide,A stationary point was found,518
efectopenthetapia,2:0.8,pi_a,profit_oriented,9.2e11,0.8,1e+08,270.13,270.12617855884446,-1.4e-05,coincide,A stationary point was found,518
efectopenthetapia,2:0.8,theta,profit_oriented,9.2e8,0.8,1e+08,120200000.0,120200000.0,0.0,coincide,A stationary point was found,518
efectopenthetapia,2:0.8,ratio,profit_oriented,9.2e8,0.8,1e+08,1.2,1.202,0.001667,coincide,A stationary point was found,518
efectopenthetapia,2:0.8,pi_a,profit_oriented,9.2e8,0.8,1e+08,270.13,270.1261785588446,-1.4e-05,coincide,A stationary point was found,518
efectopenthetapia,3:0.85,theta,profit_oriented,9.2e11,0.85,1e8,113654321.0,120200000.0,0.057593,difiere,A stationary point was found,519
efectopenthetapia,3:0.85,ratio,profit_oriented,9.2e11,0.85,1e8,1.14,1.202,0.054386,difiere,A stationary point was found,519
efectopenthetapia,3:0.85,pi_a,profit_oriented,9.2e11,0.85,1e8,25.75,270.1261785588446,9.490337,difiere,A stationary point was found,519
efectopenthetapia,3:0.85,theta,profit_oriented,9.2e8,0.85,1e8,113654321.0,120200000.0,0.057593,difiere,A stationary point was found,519
efectopenthetapia,3:0.85,ratio,profit_oriented,9.2e8,0.85,1e8,1.14,1.202,0.054386,difiere,A stationary point was found,519
efectopenthetapia,3:0.85,pi_a,profit_oriented,9.2e8,0.85,1e8,25.75,270.1261785588445,9.490337,difiere,A stationary point was found,519
efectopenthetapia,4:0.9,theta,profit_oriented,9.2e11,0.9,1e8,113568965.0,120200000.0,0.058388,difiere,A stationary point was found,520
efectopenthetapia,4:0.9,ratio,profit_oriented,9.2e11,0.9,1e8,1.14,1.202,0.054386,difiere,A stationary point was found,520
efectopenthetapia,4:0.9,pi_a,profit_oriented,9.2e11,0.9,1e8,93.65,270.1261785588446,1.884423,difiere,A stationary point was found,520
efectopenthetapia,4:0.9,theta,profit_oriented,9.2e8,0.9,1e8,113568965.0,120200000.0,0.058388,difiere,A stationary point was found,520
